title,author_dates,author,author_viaf,author_viaf_id,edition,editor,publisher,pub_place,pub_date,series_title,series_id,source,work_id,prelemmatized,notes
In laudem Iustini,f.549,Corippus Flavius Cresconius,http://viaf.org/viaf/87951066,87951066,"critical edition, no apparatus","Partsch, Josef",Weidmann,Berlin,1879,,CorFla.InLaIus,,16834,True,
Liber V,1115-1188,Gaufridus Claraevallensis,http://viaf.org/viaf/12351441,12351441,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 185",GauCla.LibV,Patrologia Latina,11352,True,
Corpus Scriptorum Ecclesiasticorum Latinorum (CSEL),,,,,,,University of Leipzig,Germany,2014,,,,14926,True,
Dissertatio regni Croatiae,1652–1713,"Ritter, Paulus",http://viaf.org/viaf/5905399,5905399,"early modern edition, no apparatus",Zrinka Blažević,,,mense Decembri 2011.,,RitPau.DiReCro,,13262,True,
Canones Evangeliorum,,Eusebius Pamphilus,http://viaf.org/viaf/29403098,29403098,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 29",EusPam.CanEva,Patrologia Latina,7221,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Poenitentiale Theodori cum aliis capitulis collatum,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 99",AucInc.PoThCuA,Patrologia Latina,8644,True,
Carmina,1478-1529,Baldassarre Castiglione,http://viaf.org/viaf/39446776,39446776,,,Biblioteca Italiana,Roma,2008,Collezione BibIt,,,12995,True,
Saturae,34–62,Persius,http://viaf.org/viaf/100198157,100198157,"eclectic edition, apparatus not encoded",G. G. Ramsay,William Heinemann; G. P. Putnam's Son,London,34–62,,Persiu.Saturae,,12763,True,
Liber philosophorum moralium antiquorum,1210-1298,Iohannes de Procida,http://viaf.org/viaf/10203382,10203382,,Print edition by: E. Franceschini,,,1931-1932,,IohPro.LibPhiMora,,15583,True,"['Genere: Filosofia', 'Tipo: Fonti Letterarie', ""Note: Data di composizione dell'opera: probabilmente ultimi anni del XIII secolo\r\nParole: 49507\r\nCaratteri:276573\r\n[..] indicano correzioni dell'editore\r\nCorrezioni al testo: p. 430 apparebit] opparebit ed. ; p. 447 habere] hahere ed. ; p. 456 non]uon ed. ; p. 468 que]qne ed. ; p. 468 ignorantem] igorantem ed. ; p. 486 Respondit] Bespondit ed. ; p. 502 quam] qnam ed. ; p. 504 habet] hahet ed. ; p. 544 adversum] adversnm ed. .\r\nGM"", 'Livello di codifica: 1']"
Vita S. Leobini,530-609,Venantius Fortunatus,http://viaf.org/viaf/220004375,220004375,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 88",VenFor.ViSLe,Patrologia Latina,8332,True,
Liber pontificalis Ecclesiae Ravennatis,-c.846,Andreas Agnellus,http://viaf.org/viaf/29688624,29688624,"critical edition, no apparatus","Waitz, Georg",Hahn,Hannover,1878,,AndAgn.LiPoEcc,,16857,True,
In verba Matthaei cap. XIII v. 45,,Auctor incertus (Bernardus Claraevallensis?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 184",AuInBeC.InVeMaC,Patrologia Latina,11270,True,
Divinarum institutionum liber III,250-325,Lactantius,http://viaf.org/viaf/100198064,100198064,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 6",Lactan.DiInLiI3,Patrologia Latina,6809,True,
De consecratione Ecclesiae,,Sugerius S. Dionysii,http://viaf.org/viaf/96531148,96531148,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 186",SuSDi.DeCoEc,Patrologia Latina,11371,True,
Epistolarum libri VI,c.1190-1249,Petrus de Vinea,http://viaf.org/viaf/122196429,122196429,,Print edition by: Joh. Rudolphus Iselius,Joh. Christ,Basel,1740,,PetVin.EpiLibVi1,,15515,True,"['Genere: Epistolografia', 'Tipo: Fonti Letterarie', 'Tipo:', ""Note: L'edizione di riferimento è in 2 volumi; il secondo volume ricomincia da 1 la numerazione delle pagine. \r\nIl primo volume contiene i libri I-III.\r\nNel primo volume l'edizione delle lettere comincia da p. 73. Nel secondo volume, per un errore nella numerazione delle pagine, si salta da p. 160 a p. 171.\r\nNon sono state inserite le pagine contenenti gli elenchi delle rubriche delle lettere (ovvero le pp. 69-72, 230-234, 365-372 del primo volume e le pp. 3-4, 29-38, 154-155 del secondo volume).\r\nNumero totale parole dei 2 tomi: 101598; numero totale caratteri dei 2 tomi: 660513\r\n(FDD)"", 'Livello di codifica: 1']"
Vita Angelranni,,Hariulfus S. Richarii Centulensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 141",HaSRiCe.VitAng,Patrologia Latina,9899,True,
Expositio in canticum Moysis II,1093-1169,Gerhohus Reicherspergensis,http://viaf.org/viaf/21134221,21134221,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 194",GerRei.ExInCaM3,Patrologia Latina,11483,True,
De corpore et sanguine Christi,814-878,Adrevaldus Floriacensis,http://viaf.org/viaf/283957509,283957509,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 124",AdrFlo.DeCoEtS3,Patrologia Latina,9199,True,
Vita S. Willibrodi,730-804,Alcuinus,http://viaf.org/viaf/96533523,96533523,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 101",Alcuin.ViSWi,Patrologia Latina,8710,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Translatio XXXIX Homiliarum,340-420,Origenes; Hieronymus Stridonensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 26",OrHiSt.TrXxHo,Patrologia Latina,7192,True,
Epistolae,,Honorius I,http://viaf.org/viaf/50892373,50892373,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 80",HonI.Episto105,Patrologia Latina,8152,True,
Amator,1404-1472,Leon Battista Alberti,http://viaf.org/viaf/29559625,29559625,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,12982,True,
Collatio cum Maximino episcopo Arianorum,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 42",AugHip.CoCuMaE,Patrologia Latina,7431,True,
Praefatio in Pentateuchum,340-420,Hieronymus Stridonensis,http://viaf.org/viaf/95147024,95147024,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 28",HieStr.PrInPe,Patrologia Latina,7217,True,
Hymnus,fl. 342,Coelius Sedulius,http://viaf.org/viaf/18636329,18636329,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 19",CoeSed.Hymnus2,Patrologia Latina,7059,True,
Regula ad virgines,546-551,Aurelianus Arelatensis,http://viaf.org/viaf/84482165,84482165,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 68",AurAre.ReAdVi2,Patrologia Latina,7888,True,
Summa contra gentiles,1225-1274,Thomas Aquinas,http://viaf.org/viaf/264344179,264344179,"critical edition, apparatus not encoded",,Textum Leoninum,Romae,1961,Corpus Thomisticum,ThomAqu.SG,,12034,True,
Juramentum,806-882,Hincmarus Rhemensis,http://viaf.org/viaf/41865587,41865587,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 125",HinRhe.Jurame2,Patrologia Latina,9246,True,
Charta,,Udalricus Augustanus,http://viaf.org/viaf/293623348,293623348,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 135",UdaAug.Charta7,Patrologia Latina,9472,True,
De corpore et sanguine Domini,-c.870,Ratramnus Corbeiensis,http://viaf.org/viaf/267795205,267795205,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 121",RatCor.DeCoEtS2,Patrologia Latina,9154,True,
Epistolae et diplomata,1061-1139,Otto Bambergensis,http://viaf.org/viaf/121778073,121778073,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 173",OttBam.EpEtDi18,Patrologia Latina,11024,True,
"Super Epistolam B.
	Pauli ad Colossenses lectura",1225-1274,Thomas Aquinas,http://viaf.org/viaf/264344179,264344179,"critical edition, apparatus not encoded",,Textum Taurini,Romae,1953,Corpus Thomisticum,ThomAqu.SupEph,,12039,True,
Monita ad Emericum,,Stephanus I Hungarorum,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 151",StIHu.MoAdEm,Patrologia Latina,10458,True,
Epistola de officio missae,,Isaac de Stella,http://viaf.org/viaf/250673578,250673578,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 194",IsDeSt.EpDeOfM,Patrologia Latina,11492,True,
Responsiones pro Augustino ad capitula Gallorum,390-463,Prosper Aquitanus,http://viaf.org/viaf/52485706,52485706,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1846,"Patrologia Latina, vol. 51",ProAqu.RePrAuA,Patrologia Latina,7583,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Testimonia veterum,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 157",AucVar.TesVet9,Patrologia Latina,10582,True,
De musica,c.841–908,Remigius Antissiodorensis,http://viaf.org/viaf/121885360,121885360,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 131",RemAnt.DeMus3,Patrologia Latina,9348,True,
De poenitentia,150-230,Tertullianus,http://viaf.org/viaf/100226395,100226395,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 1",Tertul.DePoe,Patrologia Latina,49,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Iuuenalis ad lectorem,1507-c.1570,"Verantius, Michael",http://viaf.org/viaf/303332771,303332771,"early modern edition, no apparatus",Neven Jovanović,,,Siječanj 2012,,VerMic.0120628,,13362,True,
De substantia dilectionis,,Auctor incertus (Augustinus Hipponensis?); Auctor incertus (Hugo de S. Victore?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 40",AuInAuH.DeSuDi,Patrologia Latina,7352,True,
De bono conjugali,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 40",AugHip.DeBoCo,Patrologia Latina,7392,True,
Narratio,,Guillelmus Cabillonensis,http://viaf.org/viaf/309622576,309622576,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 134",GuiCab.Narrat,Patrologia Latina,9449,True,
Sermo,c.1005–1089,Lanfrancus Cantuariensis,http://viaf.org/viaf/82939845,82939845,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 150",LanCan.Sermo4,Patrologia Latina,10370,True,
Sylva in scabiem,1454-1494,"Poliziano, Angelo",http://viaf.org/viaf/9867884,9867884,"critical edition, apparatus not encoded","P. Orvieto, s.a.",,,,Musisque Deoque 2007,PolAng.Syinsc,,20295,True,
De mulieribus claris,1313-1375,Giovanni Boccaccio,http://viaf.org/viaf/64002165,64002165,,,Biblioteca Italiana,Roma,2007,Collezione BibIt,,,13038,True,
Epistola ad Fridericum imperatorem,,Cardinales qui Alexandro adhaerebant,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 200",CaQuAlA.EpAdFrI,Patrologia Latina,11591,True,
Liber de corpore et sanguine Domini,785-860,Paschasius Radbertus,http://viaf.org/viaf/100184512,100184512,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 120",PasRad.LiDeCoE,Patrologia Latina,9117,True,
Digesta Iustiniani Augusti,c.482-565,Iustinianus,http://viaf.org/viaf/88881722,88881722,"eclectic edition, no apparatus","recognovit adsumpto in operis societatem Paulo Kruegero, Th. Mommsen",Weidmann,Berlin,1868-1870,Auctores scientiarum varii,Iust.Dig,,12178,True,
Regnum Slavorum,c. 1149,Presbyter Diocleas,http://viaf.org/viaf/242632445,242632445,"early modern edition, no apparatus",Vladmir Mošin,,,"rujna
                2009",,PreDio.ReSlavo,,13434,True,
Chartae,,Stephanus de Balgiaco,http://viaf.org/viaf/8178979,8178979,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 172",StDeBa.Charta19,Patrologia Latina,11009,True,
De imaginatione,1470-1533,Gianfrancesco Pico della Mirandola,http://viaf.org/viaf/17253695,17253695,,,Biblioteca Italiana,Roma,2004,Collezione BibIt,,,13030,True,
Speculum de scriptura sacra,,Auctor incertus (Theodulfus Aurelianensis?); Auctor incertus (Augustinus Hipponensis?),,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1831,"Patrologia Latina, vol. 105",AuInThA.SpDeScS2,Patrologia Latina,8815,True,
De institutione bene vivendi per exempla sanctorum,1450-1524,"Marulus Spalatensis, Marcus",http://viaf.org/viaf/19697406,19697406,"early modern edition, no apparatus",Branimir Glavičić,,,Kolovoz 2004,,MarMar.DeInBen,,13242,True,
Plurima Callymachi venerantur saecula manes,1469-1562,"Natalis, Franciscus",http://viaf.org/viaf/291382106,291382106,"early modern edition, no apparatus",Sante Graciotti,,,Rujna 2012,,NatFra.PlCaVen,,13421,True,
Epistola ad S. Adelbertum,,Thietpaldus Tegernseensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 139",ThiTeg.EpAdSAd,Patrologia Latina,9815,True,
De incarnatione et gratia,,Petrus diaconus; Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1848,"Patrologia Latina, vol. 62",PeDiAuV.DeInEtG,Patrologia Latina,7732,True,
Expositiones,806-882,Hincmarus Rhemensis,http://viaf.org/viaf/41865587,41865587,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 125",HinRhe.Exposi3,Patrologia Latina,9244,True,
De duplici martyrio,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1844,"Patrologia Latina, vol. 4",AucInc.DeDuMa,Patrologia Latina,113,True,
Officium S. Udalrici,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 135",AucInc.OfSUd,Patrologia Latina,9455,True,
Officium corporis Christi Sapientia,1225-1274,Thomas Aquinas,http://viaf.org/viaf/264344179,264344179,"critical edition, apparatus not encoded","C.
	Lambot",Textum Leoninum,Romae,1968,Corpus Thomisticum,ThomAqu.SupDecr,,12037,True,
Commentarii in librum I Regum,540-604,Gregorius I,http://viaf.org/viaf/100184667,100184667,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 79",GreI.CoInLiI,Patrologia Latina,21352,True,
Hexaemeron,340-397,Ambrosius Mediolanensis,http://viaf.org/viaf/100227669,100227669,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1845,"Patrologia Latina, vol. 14",AmbMed.Hexaem,Patrologia Latina,6958,True,
Carmina ad Alfonsum de Aragonia,1442-1508,"Piatti, Pietro Antonio",http://viaf.org/viaf/67646179,67646179,"critical edition, apparatus not encoded","T. De Marinis, A. Perosa, 1970",,,,Musisque Deoque 2007,PiaPie.CadeAr,,19862,True,
Quaestiones Evangeliorum,354-430,Augustinus Hipponensis,http://viaf.org/viaf/66806872,66806872,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1841,"Patrologia Latina, vol. 35",AugHip.QuaEva,Patrologia Latina,7324,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Epistolae Siscienses,fl. 1590,Auctores varii (1590),,,"early modern edition, no apparatus",Josip Kolanović,,,Lipanj 2012.,,"VA1590,EpSisci","Ivanović, Jozo ; Kolanović, Josip: Sisak u obrani od Turaka : izbor građe 1543-1597. Zagreb; Sisak : Arhiv Hrvatske ; Povijesni arhiv Sisak : Matica hrvatska Sisak, 1993. - ISBN 9536005026 9789536005024",13292,True,
Officium de S. Victore,1090-1153,Bernardus Claraevallensis,http://viaf.org/viaf/59875293,59875293,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 183",BerCla.OfDeSVi,Patrologia Latina,11253,True,
De creatione et redemptione primi hominis,,Drogo cardinalis,http://viaf.org/viaf/89585373,89585373,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 166",DroCar.DeCrEtR,Patrologia Latina,10843,True,
Dispositio rei familiaris Cluniacensis,1092-1156,Petrus Cluniacensis,http://viaf.org/viaf/90632967,90632967,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 189",PetClu.DiReFaC,Patrologia Latina,11416,True,
Historia de vitis pontificum Romanorum,-879,Anastasius bibliothecarius,http://viaf.org/viaf/84481982,84481982,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 127",AnaBib.HiDeViP,Patrologia Latina,21410,True,
Relatio,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 72",AucInc.Relati,Patrologia Latina,7950,True,
Vita altera S. Guillelmi,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 141",AucInc.ViAlSGu,Patrologia Latina,9857,True,
Testimonia,,Auctores varii,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1848,"Patrologia Latina, vol. 69",AucVar.Testim15,Patrologia Latina,7903,True,
Ad Maximilianum Verhovacz epistola 24. Septembris 1793,1729-1799,"Skerletz, Nicolaus",,,"early modern edition, no apparatus",Neven Jovanović,,,lipnja 2009,,SkeNic.AdM2409,"Škrlec, Nikola, Stjenko Vranjican, i Eugen Pusić. Nikola Škrlec Lomnički: (1729-1799). Sv. 2.
      Zagreb: Pravni fakultet et al, 2000.",13165,True,
Historia rebellionis Pauli,642–690,Julianus Toletanus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 96",JulTol.HiRePa,Patrologia Latina,8590,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Historia translationis S. Hucberti,c.760–841,Jonas Aurelianus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 106",JonAur.HiTrSHu,Patrologia Latina,8876,True,
Epistola ad sanctam Agnetem de Praga [II],1194-1253,Clara Assisiensis,http://viaf.org/viaf/8754769,8754769,,Print edition by: E. Menestò and S. Brufani et alii,Edizioni Porziuncola,Assisi,1995,,ClaAss.EpiAdSanct2,,15473,True,"['Genere: Epistolografia', 'Tipo: Fonti Letterarie', 'Livello di codifica: 1', 'Note: Caratteri (spazi inclusi): 3.434\n\t\t\t\tGG']"
Carmina,fl.ca.1530,"Paolini, Alessandro",http://viaf.org/viaf/30938821,30938821,"critical edition, apparatus not encoded","Lucia Bedon, tesi di laurea Università degli studi di Trieste, 1977-78",,,,Musisque Deoque 2007,PaoAle.Carm,,19840,True,
Querimonia contra Farfenses,1044-1054,Joannes Sabinensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 143",JoaSab.QuCoFa,Patrologia Latina,10016,True,
De triumpho stultitiae,1450-1523,"Perisauli, Faustino",http://viaf.org/viaf/89268726,89268726,"critical edition, apparatus not encoded","A. Viviani, G. Fabbri, 1963",,,,Musisque Deoque 2007,PerFau.Detrst,,19975,True,
De ultimo Christi iudicio sermo.,1450-1524,"Marulus Spalatensis, Marcus",http://viaf.org/viaf/19697406,19697406,"early modern edition, no apparatus",Branimir Glavičić,,,Lipnja 2009,,MarMar.DeUlChr,,13249,True,
Responsio Ludovici,,Ludovicus comes,http://viaf.org/viaf/72185959,72185959,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 159",LudCom.ResLud,Patrologia Latina,10677,True,
Canonum prisca collectio,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",AucInc.CaPrCo,Patrologia Latina,9596,True,
Flametta,1438-1516,"Verino, Ugolino",http://viaf.org/viaf/49402513,49402513,"critical edition, apparatus not encoded","L. Mencaraglia, 1940",,,,Musisque Deoque 2007,VerUgo.Flam,,20148,True,
Commentaria in libros Machabaeorum,780-856,Rabanus Maurus,http://viaf.org/viaf/95147534,95147534,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 109",RabMau.CoInLiM,Patrologia Latina,8904,True,
Testamentum,,Berno Cluniacensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 133",BerClu.Testam10,Patrologia Latina,9409,True,
Epistola,fl. 865,Anscharius Hamburgensis,http://viaf.org/viaf/76471423,76471423,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1852,"Patrologia Latina, vol. 118",AnsHam.Episto188,Patrologia Latina,9080,True,
Officia per ferias,730-804,Alcuinus,http://viaf.org/viaf/96533523,96533523,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1851,"Patrologia Latina, vol. 101",Alcuin.OfPeFe,Patrologia Latina,8706,True,['XML corrections by Jan Ctibor in 2023: isolated heads moved to corresponding divs']
Liber sapientie collectus,fl.c.1150,Guido magister,,,,Print edition by: Elisabetta Bartoli,SISMEL,Firenze,2014,,GuiMag.LibSapColl,,15584,True,"['Genere: Retorica', 'Tipo: Fonti Letterarie', 'Note: Parole 8790\r\nCaratteri 7711\r\nOpera tradita ai ff. 53v-55r di Verona\n\t\t\t\t\t                    Biblioteca Capitolare CCLXII, 234. \r\nIl segno † indica parti del testo testo\n\t\t\t\t\t                    seriamente danneggiate nel codice, di cui non si è riusciti a comprendere il senso.\r\nLe\n\t\t\t\t\t                    parentesi quadre [ ] indicano le espunzioni\r\nLe parentesi uncinate <> segnalano le\n\t\t\t\t                    integrazioni \r\nE. B.', 'Livello di codifica: 1']"
Litania in honorem S. Eusebii,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 134",AucInc.LiInHoS,Patrologia Latina,9445,True,
Disceptatio synodalis,1007-1072,Petrus Damianus,https://viaf.org/viaf/50018008/,50018008,"critical edition, no apparatus",Ernst Dümmler,Hahn,Hannover,1891,,PetDam.DisSyn,,16780,True,
Responsio,1033-1109,Anselmus Cantuariensis,http://viaf.org/viaf/100187025,100187025,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 158",AnsCan.Respon,Patrologia Latina,10633,True,
Passio SS. Florae et Lucillae,1007-1072,Petrus Damianus,http://viaf.org/viaf/50018008,50018008,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 144",PetDam.PaSsFlE,Patrologia Latina,10047,True,
Buccolicum Carmen,1313-1375,Giovanni Boccaccio,http://viaf.org/viaf/64002165,64002165,,,Biblioteca Italiana,Roma,2007,Collezione BibIt,,,12991,True,
De septem donis Sancti Spiritus,,Drogo cardinalis,http://viaf.org/viaf/89585373,89585373,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1854,"Patrologia Latina, vol. 166",DroCar.DeSeDoS,Patrologia Latina,10845,True,
De Trinitate,480-525,Boetius,http://viaf.org/viaf/100218964,100218964,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1847,"Patrologia Latina, vol. 64",Boetiu.DeTri7,Patrologia Latina,7780,True,
Epistolae,,Fulco Rhemensis,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 131",FulRhe.Episto206,Patrologia Latina,9333,True,
Aulularia,c.254BC–c.184BC,Plautus,http://viaf.org/viaf/66462281,66462281,"eclectic edition, apparatus not encoded",F. Leo,Weidmann,Berlin,1895,,Plautu.Aulular,,12602,True,
Monumenta de treuga Domini,,Auctor incertus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 151",AucInc.MoDeTrD,Patrologia Latina,10418,True,
Expositio in symbolum Athanasii,1079–1142,Petrus Abaelardus,http://viaf.org/viaf/88995118,88995118,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 178",PetAba.ExInSyA,Patrologia Latina,11119,True,
Leges ecclesiasticae concilii Grateleani,,Aethelstanus,http://viaf.org/viaf/52764880,52764880,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1853,"Patrologia Latina, vol. 138",Aethel.LeEcCoG,Patrologia Latina,9577,True,
De secreto,1225-1274,Thomas Aquinas,http://viaf.org/viaf/264344179,264344179,"critical edition, apparatus not encoded",,Textum Taurini,Romae,1954,Corpus Thomisticum,ThomAqu.DeSecre,,11994,True,
Epigrammaton libri,1450-1527,"Sasso, Panfilo",http://viaf.org/viaf/17148957,17148957,"critical edition, apparatus not encoded","M. Dussin, tesi di laurea Università degli Studi di Padova, 1987-88",,,,Musisque Deoque 2007,SasPan.Epli,,20080,True,
Verba seniorum,,Auctor incertus; Paschasius diaconus,,,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1849,"Patrologia Latina, vol. 73",AuInPaD.VerSen4,Patrologia Latina,8001,True,
Contra perfidiam Judaeorum,1135-1212,Petrus Blesensis,http://viaf.org/viaf/24572572,24572572,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1855,"Patrologia Latina, vol. 207",PetBle.CoPeJu,Patrologia Latina,11707,True,
De diversis criminibus,,Gregorius III,http://viaf.org/viaf/14299404,14299404,"early modern edition, no apparatus",Jacques-Paul Migne,J. P. Migne,Parisiis,1850,"Patrologia Latina, vol. 89",GreIii.DeDiCr,Patrologia Latina,8384,True,
